method,display_name,image,mse,psnr_db,ssim,lpips,inference_seconds,common_render_seconds,path_count,cubic_segment_count,native_width,native_height,svg_bytes,background,svg,render
ours,Notre methode,0078807977709.png,0.007917576139694056,21.014077515253607,0.575404942035675,0.31609225273132324,0.6200323000375647,0.28219490000628866,1280,5120,256,256,602891,black,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\ours_native\ours_final\0078807977709.svg,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\common_renders\ours\0078807977709.png
supersvg,SuperSVG,0078807977709.png,0.0016621532732659094,27.793289308140153,0.8236300349235535,0.11923053860664368,2.493321999994805,0.3415195000125095,1000,4000,512,512,558369,black,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\supersvg_native\0078807977709.svg,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\common_renders\supersvg\0078807977709.png
live,LIVE,0078807977709.png,0.011841171106220091,19.26605343236625,0.544408917427063,0.40957045555114746,251.4694299,0.07288349998998456,32,128,256,256,21520,white,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\live_native\svg\0078807977709.svg,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\common_renders\live\0078807977709.png
im2vec,Im2Vec,0078807977709.png,0.29612024286441924,5.2853190310101406,0.22018468379974365,0.7904819250106812,0.014683200017316267,0.009041400015121326,4,80,128,128,9784,white,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\im2vec_native\svg\0078807977709.svg,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\common_renders\im2vec\0078807977709.png
ours,Notre methode,0078936124638016.png,0.0029030232894691928,25.371494800321273,0.8373520970344543,0.24693167209625244,0.663803800009191,0.31633090000832453,1408,5632,256,256,652576,black,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\ours_native\ours_final\0078936124638016.svg,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\common_renders\ours\0078936124638016.png
supersvg,SuperSVG,0078936124638016.png,0.00045754864339585716,33.39562727968242,0.9387542605400085,0.09032828360795975,2.6260588000004645,0.34458710000035353,1000,4000,512,512,557997,black,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\supersvg_native\0078936124638016.svg,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\common_renders\supersvg\0078936124638016.png
live,LIVE,0078936124638016.png,0.00148137384748417,28.293353267517723,0.8966658115386963,0.1890861839056015,228.99743990000002,0.05841220001457259,32,128,256,256,21508,white,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\live_native\svg\0078936124638016.svg,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\common_renders\live\0078936124638016.png
im2vec,Im2Vec,0078936124638016.png,0.16467375286129568,7.8337561695587885,0.5235702395439148,0.8381001353263855,0.013679399999091402,0.009662900003604591,4,80,128,128,9786,white,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\im2vec_native\svg\0078936124638016.svg,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\common_renders\im2vec\0078936124638016.png
ours,Notre methode,007905920170535.png,0.018468410582449222,17.33570478949251,0.4150594174861908,0.468872994184494,0.5954110999882687,0.36112970000249334,1408,5632,256,256,624352,black,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\ours_native\ours_final\007905920170535.svg,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\common_renders\ours\007905920170535.png
supersvg,SuperSVG,007905920170535.png,0.003488776584908084,24.573268411131608,0.7073309421539307,0.24145253002643585,2.560330799984513,0.34206120000453666,1000,4000,512,512,557082,black,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\supersvg_native\007905920170535.svg,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\common_renders\supersvg\007905920170535.png
live,LIVE,007905920170535.png,0.011661892984330189,19.332309482115033,0.37539613246917725,0.549590528011322,244.91666379999998,0.05377300002146512,32,128,256,256,21543,white,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\live_native\svg\007905920170535.svg,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\common_renders\live\007905920170535.png
im2vec,Im2Vec,007905920170535.png,0.3422524137289366,4.6565348032922,0.08320831507444382,0.8574213981628418,0.010917400009930134,0.00924830001895316,4,80,128,128,9840,white,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\im2vec_native\svg\007905920170535.svg,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\common_renders\im2vec\007905920170535.png
ours,Notre methode,0079155434536247.png,0.0011207898298945423,29.504758185152152,0.7637518048286438,0.2133728563785553,0.8572297000209801,0.36744370000087656,1792,7168,256,256,832137,black,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\ours_native\ours_final\0079155434536247.svg,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\common_renders\ours\0079155434536247.png
supersvg,SuperSVG,0079155434536247.png,0.0004304406240235222,33.66086747665369,0.8551201820373535,0.15535159409046173,2.513232400000561,0.3428008999908343,1000,4000,512,512,554945,black,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\supersvg_native\0079155434536247.svg,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\common_renders\supersvg\0079155434536247.png
live,LIVE,0079155434536247.png,0.0013300072675274807,28.76145985921291,0.7103596329689026,0.31035134196281433,249.8334074,0.07095050002681091,32,128,256,256,21488,white,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\live_native\svg\0079155434536247.svg,C:\Users\zak\Documents\GitHub\Vectorisation-Automatique-d-Images-Matricielles-par-Deep-Learning\implementation\evaluation_results\method_comparison\common_renders\live\0079155434536247.png
