model,image,source_index,width,height,region_count,paths_per_region,path_count,mse,psnr_db,ssim,lpips,preprocess_seconds,network_seconds,render_seconds,svg_export_seconds,inference_seconds,metric_seconds,peak_extra_gpu_mb,svg_bytes,input_png_bytes,svg_xml_valid,svg_diffvg_reload_valid,svg_path_count
paths32_e00,0078807977709.jpg,1,256,192,5,32,160,0.11260871688222401,9.484279900590696,0.23124103248119354,0.6528732776641846,0.03724309999961406,0.019868199990014546,0.10933829999703448,0.017317499994533136,0.18376709998119622,0.01979140000184998,59.93212890625,72678,82725,True,True,160
paths32_e00,007883581521552.jpg,2,192,256,12,32,384,0.052530903607833176,12.795851286368203,0.33715400099754333,0.6577919125556946,0.04477219999535009,0.021488400001544505,0.21600200000102632,0.02631919999839738,0.3085817999963183,0.016857800001162104,81.404296875,175014,75482,True,True,384
paths32_e00,007885703398766.jpg,3,256,155,13,32,416,0.034908517953318806,14.570685888357321,0.30060574412345886,0.6471918821334839,0.02569329999096226,0.02261609998822678,0.21853420000115875,0.03599579998990521,0.302839399970253,0.016411400007200427,85.76220703125,195114,74700,True,True,416
paths32_e00,0078883873062625.jpg,4,226,256,9,32,288,0.10553026989420633,9.76622951148653,0.20734231173992157,0.668606162071228,0.04631130000052508,0.02262019999034237,0.20593480000388809,0.02039939998940099,0.2952656999841565,0.018074100007652305,73.52880859375,137106,99265,True,True,288
paths32_e00,007890039314897.jpg,5,256,192,13,32,416,0.027533702879291324,15.60135378439474,0.3219994604587555,0.7633322477340698,0.04697399999713525,0.02414709998993203,0.23833469999954104,0.027259900001809,0.3367156999884173,0.0191387999948347,85.76220703125,196260,92663,True,True,416
paths32_e00,0078936124638016.jpg,6,256,192,10,32,320,0.04593967034741804,13.378121255278224,0.6055819392204285,0.6668905019760132,0.042557699998724274,0.021521600006963126,0.16586629999801517,0.02489919999788981,0.2548448000015924,0.01638440000533592,78.8623046875,153752,50125,True,True,320
paths32_e00,007898638891341.jpg,7,256,192,13,32,416,0.038512271554774886,14.144008647943132,0.5345433354377747,0.6214851140975952,0.04313930000353139,0.02316699999209959,0.18807689999812283,0.027389299997594208,0.281772499991348,0.018555500006186776,85.76220703125,194547,60633,True,True,416
paths32_e00,0079009956418858.jpg,8,256,170,10,32,320,0.06201226910776102,12.075223769751007,0.20768123865127563,0.6689087152481079,0.03915660000347998,0.021766000005300157,0.15910160000203177,0.02522500000486616,0.24524920001567807,0.018087599994032644,78.8623046875,147679,84616,True,True,320
paths32_e00,0079032705365287.jpg,9,170,256,13,32,416,0.03951372591464387,14.032520169427835,0.3242360055446625,0.6462901830673218,0.03868800000054762,0.022311299995635636,0.17677659999753814,0.028679800001555122,0.2664556999952765,0.01809129999310244,85.76220703125,192139,48497,True,True,416
paths32_e00,007905920170535.jpg,10,256,174,11,32,352,0.077486795793634,11.107722975263655,0.08925283700227737,0.7003051042556763,0.041653199994470924,0.02186280000023544,0.17763120000017807,0.1458204999944428,0.38696769998932723,0.020126000003074296,79.64208984375,156915,85383,True,True,352
paths32_e00,007913903430462.jpg,11,256,171,11,32,352,0.036608134802064526,14.36422398018407,0.2599259614944458,0.6487588882446289,0.042990400004782714,0.024479699990479276,0.1953088000009302,0.024357900008908473,0.28713680000510067,0.01623910000489559,79.64208984375,159977,71581,True,True,352
paths32_e00,0079155434536247.jpg,12,192,256,13,32,416,0.008884077808942646,20.513876464488163,0.31029632687568665,0.6122479438781738,0.04476200000499375,0.02463230000284966,0.1993261000025086,0.028807100010453723,0.29752750002080575,0.016474600008223206,85.76220703125,188179,60171,True,True,416
paths32_e02,0078807977709.jpg,1,256,192,5,32,160,0.06892662791985399,11.616129678662144,0.27582499384880066,0.6252519488334656,0.038175599998794496,0.02007420000154525,0.12140489999728743,0.013240000000223517,0.1928946999978507,0.014599400004954077,60.6611328125,73409,82725,True,True,160
paths32_e02,007883581521552.jpg,2,192,256,12,32,384,0.0296578965260565,15.278596543703976,0.38223448395729065,0.6332347989082336,0.029858499998226762,0.019252100013545714,0.17943849999574013,0.02863200000138022,0.2571811000088928,0.015518699990934692,81.091796875,175488,75482,True,True,384
paths32_e02,007885703398766.jpg,3,256,155,13,32,416,0.016411291929959517,17.848572290646857,0.31972381472587585,0.5675404071807861,0.03655379998963326,0.020824399995035492,0.18952970000100322,0.030596999989938922,0.2775048999756109,0.013467800003127195,86.3115234375,194207,74700,True,True,416
paths32_e02,0078883873062625.jpg,4,226,256,9,32,288,0.06208555603992014,12.07009424973008,0.2593417763710022,0.6373018622398376,0.03776120000111405,0.019387799999094568,0.1633293000049889,0.026884399994742125,0.24736269999993965,0.018532699992647395,73.6201171875,136359,99265,True,True,288
paths32_e02,007890039314897.jpg,5,256,192,13,32,416,0.014005144799313628,18.537123966427835,0.3636471927165985,0.684151291847229,0.032061200006864965,0.018865000005462207,0.1898176999966381,0.02971439999237191,0.2704583000013372,0.016424200002802536,86.3115234375,195205,92663,True,True,416
paths32_e02,0078936124638016.jpg,6,256,192,10,32,320,0.020660878502634494,16.848512161786896,0.6715812683105469,0.6388822793960571,0.031827300001168624,0.018244100006995723,0.1721835999924224,0.02761580000515096,0.2498708000057377,0.01551320000726264,78.5498046875,153726,50125,True,True,320
paths32_e02,007898638891341.jpg,7,256,192,13,32,416,0.018250579862225877,17.387233324697366,0.5862234234809875,0.577089786529541,0.04025249999540392,0.018190799994044937,0.19719150000310037,0.029434700001729652,0.2850694999942789,0.038489800004754215,86.3115234375,193897,60633,True,True,416
paths32_e02,0079009956418858.jpg,8,256,170,10,32,320,0.04411851920189789,13.553790726878084,0.22308208048343658,0.645826518535614,0.031084400005056523,0.01920830000017304,0.16993809999257792,0.030409899991354905,0.2506406999891624,0.0157694000081392,78.5498046875,147462,84616,True,True,320
paths32_e02,0079032705365287.jpg,9,170,256,13,32,416,0.028484158677667924,15.453966035565136,0.3787482678890228,0.6346240639686584,0.032801900000777096,0.019001399996341206,0.30488869998953305,0.03684869999415241,0.39354069998080377,0.01689020000048913,86.3115234375,191058,48497,True,True,416
paths32_e02,007905920170535.jpg,10,256,174,11,32,352,0.04132490018956537,13.837881866899291,0.1534576416015625,0.6132232546806335,0.03861540000070818,0.020900799994706176,0.1868008000019472,0.02502049999020528,0.27133749998756684,0.019635699994978495,80.36328125,157130,85383,True,True,352
paths32_e02,007913903430462.jpg,11,256,171,11,32,352,0.03009243000202981,15.215427410116133,0.2883814573287964,0.6021109819412231,0.039961999995284714,0.030476899992208928,0.1472572000056971,0.02863400000205729,0.24633009999524802,0.01568070000212174,80.36328125,160124,71581,True,True,352
paths32_e02,0079155434536247.jpg,12,192,256,13,32,416,0.006747140030597467,21.70880276374319,0.4002143442630768,0.5548047423362732,0.04556349999620579,0.024616399998194538,0.19871900000725873,0.028947500002686866,0.2978464000043459,0.017581399995833635,86.3115234375,187401,60171,True,True,416
paths32_e04,0078807977709.jpg,1,256,192,5,32,160,0.05067044876640045,12.952452493326106,0.2588285505771637,0.5665627121925354,0.039301099997828715,0.02202910000050906,0.11278399999719113,0.013764699993771501,0.1878788999893004,0.01720650000788737,60.6611328125,73619,82725,True,True,160
paths32_e04,007883581521552.jpg,2,192,256,12,32,384,0.018189559850672703,17.4017780982804,0.40812453627586365,0.5488148927688599,0.044456300005549565,0.024703900009626523,0.20359150000149384,0.03222439999808557,0.3049761000147555,0.014229599997634068,81.091796875,175020,75482,True,True,384
paths32_e04,007885703398766.jpg,3,256,155,13,32,416,0.010488055884255259,19.793050072295834,0.3316088616847992,0.49411487579345703,0.029845199998817407,0.02064010000322014,0.20770730001095217,0.03184910000709351,0.2900417000200832,0.013288000001921318,86.3115234375,192463,74700,True,True,416
paths32_e04,0078883873062625.jpg,4,226,256,9,32,288,0.05353820146113573,12.71336222402429,0.24508200585842133,0.5782554745674133,0.03940379999403376,0.020397600004798733,0.1672441999980947,0.0254620000050636,0.2525076000019908,0.016185200001928024,73.6201171875,135824,99265,True,True,288
paths32_e04,007890039314897.jpg,5,256,192,13,32,416,0.010050799393883796,19.97799395104587,0.3630859851837158,0.6239253282546997,0.04753379999601748,0.023442399993655272,0.2098614999995334,0.027033799997298047,0.3078714999865042,0.015847599992412142,86.3115234375,193983,92663,True,True,416
paths32_e04,0078936124638016.jpg,6,256,192,10,32,320,0.017751311510356336,17.507695546838644,0.6269229054450989,0.569135844707489,0.04642030000104569,0.023988999993889593,0.17919199999596458,0.12155640000128187,0.37115769999218173,0.040205600002082065,78.5498046875,152143,50125,True,True,320
paths32_e04,007898638891341.jpg,7,256,192,13,32,416,0.009596839449206331,20.178717706861747,0.5915284752845764,0.5061569213867188,0.042029600008390844,0.02130829999805428,0.1751110999903176,0.032494700004463084,0.2709437000012258,0.023051700001815334,86.3115234375,192380,60633,True,True,416
paths32_e04,0079009956418858.jpg,8,256,170,10,32,320,0.03213748306201866,14.929881392428603,0.2527863085269928,0.6170489192008972,0.035574800000176765,0.024709399993298575,0.15193350000481587,0.027733399998396635,0.23995109999668784,0.01635609999357257,78.5498046875,146381,84616,True,True,320
paths32_e04,0079032705365287.jpg,9,170,256,13,32,416,0.021114468731009445,16.754198415463758,0.42162999510765076,0.6033033132553101,0.04051399999298155,0.02155279999715276,0.1726353999983985,0.028710500002489425,0.26341269999102224,0.014924300005077384,86.3115234375,191391,48497,True,True,416
